BAB;K_NR1;K_TYP1;VON;K_NR2;K_TYP2;NACH;KM;STATUS
  5;20  ;AS  ;Frankfurt a. Main-Westhafen                       ;21  ;AS  ;Frankfurt a. Main-Niederrad                       ; 0,3;11
  5;21  ;AS  ;Frankfurt a. Main-Niederrad                       ;22  ;AS  ;Frankfurt a. Main-Flughafen-Nord                  ; 3,6;11
  5;22  ;AS  ;Frankfurt a. Main-Flughafen-Nord                  ;22  ;AK  ;Frankfurter Kreuz                                 ; 0,5;11
  5;22  ;AK  ;Frankfurter Kreuz                                 ;23  ;AS  ;Zeppelinheim                                      ; 2,1;11
  5;23  ;AS  ;Zeppelinheim                                      ;24  ;AS  ;Langen/Mörfelden                                  ; 5,8;11
  5;24  ;AS  ;Langen/Mörfelden                                  ;25  ;AS  ;Weiterstadt                                       ; 9,5;11
  5;25  ;AS  ;Weiterstadt                                       ;26  ;AD  ;Darmstadt, Dreieck                                ; 3,1;11
  5;26  ;AD  ;Darmstadt, Dreieck                                ;26  ;AK  ;Darmstädter Kreuz                                 ; 1,4;11
  5;26  ;AK  ;Darmstädter Kreuz                                 ;27  ;AS  ;Darmstadt-Eberstadt                               ; 6,4;11
  5;27  ;AS  ;Darmstadt-Eberstadt                               ;28  ;AS  ;Seeheim-Jugenheim                                 ; 4,1;11
  5;28  ;AS  ;Seeheim-Jugenheim                                 ;29  ;AS  ;Zwingenberg                                       ; 6,3;11
  5;29  ;AS  ;Zwingenberg                                       ;30  ;AS  ;Bensheim                                          ; 5,7;11
  5;30  ;AS  ;Bensheim                                          ;31  ;AS  ;Heppenheim                                        ; 3,0;11
  5;31  ;AS  ;Heppenheim                                        ;32  ;AS  ;Hemsbach                                          ; 6,3;11
  5;32  ;AS  ;Hemsbach                                          ;33  ;AK  ;Weinheim, Kreuz                                   ; 5,0;11
  5;33  ;AK  ;Weinheim, Kreuz                                   ;34  ;AS  ;Hirschberg                                        ; 4,6;11
  5;34  ;AS  ;Hirschberg                                        ;35  ;AS  ;Ladenburg                                         ; 3,5;11
  5;35  ;AS  ;Ladenburg                                         ;36  ;AS  ;Dossenheim                                        ; 3,3;11
  5;36  ;AS  ;Dossenheim                                        ;37  ;AK  ;Heidelberg, Kreuz                                 ; 3,6;11
  5;37  ;AK  ;Heidelberg, Kreuz                                 ;38  ;AS  ;Heidelberg/Schwetzingen                           ; 5,4;11
  5;38  ;AS  ;Heidelberg/Schwetzingen                           ;39  ;AS  ;Walldorf/Wiesloch                                 ; 7,7;11
  5;39  ;AS  ;Walldorf/Wiesloch                                 ;40  ;AK  ;Walldorf, Kreuz                                   ; 2,3;11
  5;40  ;AK  ;Walldorf, Kreuz                                   ;41  ;AS  ;Kronau                                            ; 6,4;11
  5;41  ;AS  ;Kronau                                            ;-   ;-   ;TR Bruchsal (Wendemöglichkeit)                    ; 8,2;11
  5;-   ;-   ;TR Bruchsal (Wendemöglichkeit)                    ;42  ;AS  ;Bruchsal                                          ; 1,2;11
  5;42  ;AS  ;Bruchsal                                          ;44  ;AS  ;Karlsruhe-Durlach                                 ;18,4;11
  5;44  ;AS  ;Karlsruhe-Durlach                                 ;45  ;AS  ;Karlsruhe-Mitte                                   ; 1,7;11
  5;45  ;AS  ;Karlsruhe-Mitte                                   ;46  ;AD  ;Karlsruhe, Dreieck                                ; 1,8;11
  5;46  ;AD  ;Karlsruhe, Dreieck                                ;47  ;AS  ;Ettlingen                                         ; 2,9;11
  5;47  ;AS  ;Ettlingen                                         ;48  ;AS  ;Karlsruhe-Süd                                     ; 1,7;11
  5;48  ;AS  ;Karlsruhe-Süd                                     ;49  ;AS  ;Rastatt                                           ;15,6;11
  5;49  ;AS  ;Rastatt                                           ;-   ;-   ;TR Baden-Baden                                    ; 8,0;11
  5;-   ;-   ;TR Baden-Baden                                    ;51  ;AS  ;Baden-Baden                                       ; 2,1;11
  5;51  ;AS  ;Baden-Baden                                       ;52  ;AS  ;Bühl                                              ; 8,6;11
  5;52  ;AS  ;Bühl                                              ;53  ;AS  ;Achern                                            ;10,8;11
  5;53  ;AS  ;Achern                                            ;54  ;AS  ;Appenweier                                        ;14,1;11
  5;54  ;AS  ;Appenweier                                        ;55  ;AS  ;Offenburg                                         ; 7,7;11
  5;55  ;AS  ;Offenburg                                         ;56  ;AS  ;Lahr                                              ;15,4;11
  5;56  ;AS  ;Lahr                                              ;57a ;AS  ;Ettenheim                                         ; 9,2;11
  5;57a ;AS  ;Ettenheim                                         ;57b ;AS  ;Rust                                              ; 3,3;11
  5;57b ;AS  ;Rust                                              ;58  ;AS  ;Herbolzheim                                       ; 2,8;11
  5;58  ;AS  ;Herbolzheim                                       ;59  ;AS  ;Riegel                                            ; 8,4;11
  5;59  ;AS  ;Riegel                                            ;60  ;AS  ;Teningen                                          ; 4,8;11
  5;60  ;AS  ;Teningen                                          ;61  ;AS  ;Freiburg-Nord                                     ; 6,3;11
  5;61  ;AS  ;Freiburg-Nord                                     ;62  ;AS  ;Freiburg-Mitte                                    ; 4,9;11
  5;62  ;AS  ;Freiburg-Mitte                                    ;63  ;AS  ;Freiburg-Süd                                      ; 6,1;11
  5;63  ;AS  ;Freiburg-Süd                                      ;64a ;AS  ;Bad Krozingen                                     ; 5,9;11
  5;64a ;AS  ;Bad Krozingen                                     ;64b ;AS  ;Hartheim/Heitersheim                              ; 8,1;11
  5;64b ;AS  ;Hartheim/Heitersheim                              ;65  ;AS  ;Müllheim/Neuenburg                                ;11,0;11
  5;65  ;AS  ;Müllheim/Neuenburg                                ;66  ;AD  ;Neuenburg, Dreieck                                ; 0,0;11
  5;66  ;AD  ;Neuenburg, Dreieck                                ;67  ;AS  ;Efringen-Kirchen                                  ; 0,0;11
  5;67  ;AS  ;Efringen-Kirchen                                  ;68  ;AD  ;Weil am Rhein, Dreieck                            ; 0,0;11
  5;68  ;AD  ;Weil am Rhein, Dreieck                            ;69  ;AS  ;Weil am Rhein/Hüningen                            ; 0,0;11
  5;69  ;AS  ;Weil am Rhein/Hüningen                            ;-   ;BG  ;Weil am Rhein, Bundesgrenze                       ; 0,0;11
  5;66  ;AD  ;Neuenburg, Dreieck                                ;-   ;BG  ;Ottmarsheim, Bundesgrenze                         ; 0,0;11
  6;1   ;BG  ;Goldene Bremm, Bundesgrenze                       ;2   ;AS  ;Saarbrücken-Goldene Bremm                         ; 0,0;11
  6;2   ;AS  ;Saarbrücken-Goldene Bremm                         ;3   ;AD  ;Saarbrücken, Dreieck                              ; 0,0;11
  6;3   ;AD  ;Saarbrücken, Dreieck                              ;4   ;AS  ;Saarbrücken-Fechingen                             ; 0,0;11
  6;4   ;AS  ;Saarbrücken-Fechingen                             ;5   ;AS  ;St. Ingbert-West                                  ; 7,0;11
  6;5   ;AS  ;St. Ingbert-West                                  ;6   ;AS  ;St. Ingbert-Mitte                                 ; 3,1;11
  6;6   ;AS  ;St. Ingbert-Mitte                                 ;7   ;AS  ;Rohrbach (A 6)                                    ; 3,2;11
  6;7   ;AS  ;Rohrbach (A 6)                                    ;8   ;AK  ;Neunkirchen, Kreuz                                ; 6,8;11
  6;8   ;AK  ;Neunkirchen, Kreuz                                ;9   ;AS  ;Homburg                                           ; 5,0;11
  6;9   ;AS  ;Homburg                                           ;10  ;AS  ;Waldmohr                                          ; 5,7;11
  6;10  ;AS  ;Waldmohr                                          ;11  ;AS  ;Bruchmühlbach-Miesau                              ; 6,0;11
  6;11  ;AS  ;Bruchmühlbach-Miesau                              ;12  ;AK  ;Landstuhl-West, Kreuz                             ; 7,1;11
  6;12  ;AK  ;Landstuhl-West, Kreuz                             ;13  ;AS  ;Landstuhl (A6)                                    ; 2,4;11
  6;13  ;AS  ;Landstuhl (A6)                                    ;14  ;AS  ;Kaiserslautern-Einsiedlerhof                      ; 7,3;11
  6;14  ;AS  ;Kaiserslautern-Einsiedlerhof                      ;15  ;AS  ;Kaiserslautern-West                               ; 3,9;11
  6;15  ;AS  ;Kaiserslautern-West                               ;16a ;AD  ;Kaiserslautern, Dreieck                           ; 7,7;11
  6;16a ;AD  ;Kaiserslautern, Dreieck                           ;16b ;AN  ;Militär-AS (Schweinsdell)                         ; 1,4;11
  6;16b ;AN  ;Militär-AS (Schweinsdell)                         ;17  ;AS  ;Enkenbach-Alsenborn                               ; 6,7;11
  6;17  ;AS  ;Enkenbach-Alsenborn                               ;18  ;AS  ;Wattenheim                                        ;13,9;11
  6;18  ;AS  ;Wattenheim                                        ;19  ;AS  ;Grünstadt                                         ; 9,4;11
  6;19  ;AS  ;Grünstadt                                         ;21  ;AK  ;Frankenthal, Kreuz                                ; 9,7;11
  6;21  ;AK  ;Frankenthal, Kreuz                                ;22  ;AS  ;Frankenthal                                       ; 2,9;11
  6;22  ;AS  ;Frankenthal                                       ;23  ;AS  ;Ludwigshafen-Nord                                 ; 3,2;11
  6;23  ;AS  ;Ludwigshafen-Nord                                 ;24  ;AS  ;Mannheim-Sandhofen                                ; 4,1;11
  6;24  ;AS  ;Mannheim-Sandhofen                                ;25  ;AD  ;Viernheimer Dreieck                               ; 8,0;11
  6;25  ;AD  ;Viernheimer Dreieck                               ;26  ;AK  ;Viernheimer Kreuz                                 ; 3,5;11
  6;26  ;AK  ;Viernheimer Kreuz                                 ;27  ;AK  ;Mannheim, Kreuz                                   ; 7,2;11
  6;27  ;AK  ;Mannheim, Kreuz                                   ;28  ;AS  ;Mannheim/Schwetzingen                             ; 6,0;11
  6;28  ;AS  ;Mannheim/Schwetzingen                             ;29  ;AS  ;Schwetzingen/Hockenheim                           ; 5,6;11
  6;29  ;AS  ;Schwetzingen/Hockenheim                           ;30  ;AD  ;Hockenheim, Dreieck                               ; 2,6;11
  6;30  ;AD  ;Hockenheim, Dreieck                               ;31  ;AK  ;Walldorf, Kreuz                                   ; 7,6;11
  6;31  ;AK  ;Walldorf, Kreuz                                   ;32  ;AS  ;Wiesloch/Rauenberg                                ; 5,6;11
  6;32  ;AS  ;Wiesloch/Rauenberg                                ;33  ;AS  ;Sinsheim                                          ;12,8;11
  6;33  ;AS  ;Sinsheim                                          ;34  ;AS  ;Sinsheim-Steinsfurt                               ; 5,3;11
  6;34  ;AS  ;Sinsheim-Steinsfurt                               ;35  ;AS  ;Bad Rappenau                                      ;11,6;11
  6;35  ;AS  ;Bad Rappenau                                      ;36  ;AS  ;Heilbronn/Untereisesheim                          ;10,3;11
  6;36  ;AS  ;Heilbronn/Untereisesheim                          ;37  ;AS  ;Heilbronn/Neckarsulm                              ; 2,1;11
  6;37  ;AS  ;Heilbronn/Neckarsulm                              ;38  ;AK  ;Weinsberg, Kreuz                                  ; 5,8;11
  6;38  ;AK  ;Weinsberg, Kreuz                                  ;39  ;AS  ;Bretzfeld                                         ; 9,2;11
  6;39  ;AS  ;Bretzfeld                                         ;40  ;AS  ;Öhringen                                          ; 6,4;11
  6;40  ;AS  ;Öhringen                                          ;41  ;AS  ;Neuenstein                                        ; 7,9;11
  6;41  ;AS  ;Neuenstein                                        ;42  ;AS  ;Kupferzell                                        ; 7,4;11
  6;42  ;AS  ;Kupferzell                                        ;43  ;AS  ;Schwäbisch Hall                                   ; 4,3;11
  6;43  ;AS  ;Schwäbisch Hall                                   ;44  ;AS  ;Ilshofen/Wolpertshausen                           ; 9,4;11
  6;44  ;AS  ;Ilshofen/Wolpertshausen                           ;45  ;AS  ;Kirchberg                                         ; 7,0;11
  6;45  ;AS  ;Kirchberg                                         ;46  ;AS  ;Crailsheim                                        ; 8,5;11
  6;46  ;AS  ;Crailsheim                                        ;47  ;AS  ;Schnelldorf                                       ; 8,1;11
  6;47  ;AS  ;Schnelldorf                                       ;48  ;AK  ;Feuchtwangen/Crailsheim, Kreuz                    ; 4,7;11
  6;48  ;AK  ;Feuchtwangen/Crailsheim, Kreuz                    ;49  ;AS  ;Feuchtwangen-Nord                                 ; 4,6;11
  6;49  ;AS  ;Feuchtwangen-Nord                                 ;50  ;AS  ;Aurach                                            ;12,1;11
  6;50  ;AS  ;Aurach                                            ;51  ;AS  ;Herrieden                                         ; 5,1;11
  6;51  ;AS  ;Herrieden                                         ;52  ;AS  ;Ansbach                                           ; 6,5;11
  6;52  ;AS  ;Ansbach                                           ;53  ;AS  ;Lichtenau                                         ;10,6;11
  6;53  ;AS  ;Lichtenau                                         ;54  ;AS  ;Neuendettelsau                                    ; 6,4;11
  6;54  ;AS  ;Neuendettelsau                                    ;55  ;AS  ;Schwabach-West                                    ;15,7;11
  6;55  ;AS  ;Schwabach-West                                    ;56  ;AS  ;Schwabach-Süd                                     ; 3,6;11
  6;56  ;AS  ;Schwabach-Süd                                     ;57  ;AS  ;Roth                                              ; 1,9;11
  6;57  ;AS  ;Roth                                              ;58  ;AK  ;Nürnberg-Süd, Kreuz                               ; 7,5;11
  6;58  ;AK  ;Nürnberg-Süd, Kreuz                               ;59  ;AS  ;Nürnberg-Langwasser                               ; 2,9;11
  6;59  ;AS  ;Nürnberg-Langwasser                               ;60  ;AK  ;Nürnberg-Ost, Kreuz                               ; 2,2;11
  6;60  ;AK  ;Nürnberg-Ost, Kreuz                               ;61  ;AK  ;Altdorf, Kreuz                                    ; 7,3;11
  6;61  ;AK  ;Altdorf, Kreuz                                    ;62  ;AS  ;Altdorf/Leinburg                                  ; 3,3;11
  6;62  ;AS  ;Altdorf/Leinburg                                  ;63  ;AS  ;Alfeld                                            ;15,6;11
  6;63  ;AS  ;Alfeld                                            ;64  ;AS  ;Sulzbach-Rosenberg                                ; 9,1;11
  6;64  ;AS  ;Sulzbach-Rosenberg                                ;65  ;AS  ;Amberg-West                                       ; 8,6;11
  6;65  ;AS  ;Amberg-West                                       ;66  ;AS  ;Amberg-Süd                                        ;11,4;11
  6;66  ;AS  ;Amberg-Süd                                        ;67  ;AS  ;Amberg-Ost                                        ; 5,1;11
  6;-   ;AS  ;Pleystein                                         ;-   ;AS  ;Waidhaus                                          ; 5,9;11
  6;-   ;AS  ;Waidhaus                                          ;-   ;BG  ;Waidhaus, Bundesgrenze                            ; 2,9;11
  7;1   ;BG  ;Ellund, Bundesgrenze                              ;2   ;AS  ;Flensburg/Harrislee                               ; 3,9;11
  7;2   ;AS  ;Flensburg/Harrislee                               ;3   ;AS  ;Flensburg                                         ; 5,2;11
  7;3   ;AS  ;Flensburg                                         ;4   ;AS  ;Tarp                                              ; 8,3;11
  7;4   ;AS  ;Tarp                                              ;5   ;AS  ;Schleswig/Schuby                                  ;16,4;11
  7;5   ;AS  ;Schleswig/Schuby                                  ;6   ;AS  ;Schleswig/Jagel                                   ; 5,5;11
  7;6   ;AS  ;Schleswig/Jagel                                   ;7   ;AS  ;Owschlag                                          ;11,7;11
  7;7   ;AS  ;Owschlag                                          ;8   ;AS  ;Rendsburg/Büdelsdorf                              ; 7,3;11
  7;8   ;AS  ;Rendsburg/Büdelsdorf                              ;9   ;AK  ;Rendsburg, Kreuz                                  ; 5,8;11
  7;9   ;AK  ;Rendsburg, Kreuz                                  ;10  ;AS  ;Warder                                            ;12,3;11
  7;10  ;AS  ;Warder                                            ;11  ;AS  ;Bordesholm                                        ; 7,2;11
  7;11  ;AS  ;Bordesholm                                        ;12  ;AD  ;Bordesholm, Dreieck                               ; 0,9;11
  7;12  ;AD  ;Bordesholm, Dreieck                               ;13  ;AS  ;Neumünster-Nord                                   ; 6,0;11
  7;13  ;AS  ;Neumünster-Nord                                   ;14  ;AS  ;Neumünster-Mitte                                  ; 6,1;11
  7;14  ;AS  ;Neumünster-Mitte                                  ;15  ;AS  ;Neumünster-Süd                                    ; 3,0;11
  7;15  ;AS  ;Neumünster-Süd                                    ;16  ;AS  ;Großenaspe                                        ; 4,6;11
  7;16  ;AS  ;Großenaspe                                        ;17  ;AS  ;Bad Bramstedt                                     ;11,1;11
  7;17  ;AS  ;Bad Bramstedt                                     ;18  ;AS  ;Kaltenkirchen                                     ; 6,4;11
  7;18  ;AS  ;Kaltenkirchen                                     ;19  ;AS  ;Henstedt-Ulzburg                                  ; 5,1;11
  7;19  ;AS  ;Henstedt-Ulzburg                                  ;21  ;AS  ;Quickborn                                         ; 6,8;11
  7;21  ;AS  ;Quickborn                                         ;23  ;AS  ;Hamburg-Schnelsen-Nord                            ;11,3;11
  7;23  ;AS  ;Hamburg-Schnelsen-Nord                            ;24  ;AS  ;Hamburg-Schnelsen                                 ; 1,3;11
  7;24  ;AS  ;Hamburg-Schnelsen                                 ;25  ;AD  ;Hamburg-Nordwest, Dreieck                         ; 2,3;11
  7;25  ;AD  ;Hamburg-Nordwest, Dreieck                         ;26  ;AS  ;Hamburg-Stellingen                                ; 2,3;11
  7;26  ;AS  ;Hamburg-Stellingen                                ;27  ;AS  ;Hamburg-Volkspark                                 ; 1,7;11
  7;27  ;AS  ;Hamburg-Volkspark                                 ;28  ;AS  ;Hamburg-Bahrenfeld                                ; 2,3;11
  7;28  ;AS  ;Hamburg-Bahrenfeld                                ;29  ;AS  ;Hamburg-Othmarschen                               ; 0,9;11
  7;29  ;AS  ;Hamburg-Othmarschen                               ;30  ;AS  ;Hamburg-Waltershof                                ; 6,1;11
  7;30  ;AS  ;Hamburg-Waltershof                                ;31  ;AD  ;Hamburg-Moorburg                                  ; 3,8;11
  7;31  ;AS  ;Hamburg-Moorburg                                  ;32  ;AS  ;Hamburg-Heimfeld                                  ; 1,4;11
  7;32  ;AS  ;Hamburg-Heimfeld                                  ;33  ;AD  ;Hamburg-Südwest, Dreieck                          ; 4,4;11
  7;33  ;AD  ;Hamburg-Südwest, Dreieck                          ;34  ;AS  ;Hamburg-Marmstorf                                 ; 0,5;11
  7;34  ;AS  ;Hamburg-Marmstorf                                 ;35  ;AS  ;Fleestedt                                         ; 4,2;11
  7;35  ;AS  ;Fleestedt                                         ;36  ;AK  ;Maschener Kreuz                                   ; 2,3;11
  7;36  ;AK  ;Maschener Kreuz                                   ;37  ;AD  ;Horster Dreieck (A7/A1)                           ; 1,5;11
  7;37  ;AD  ;Horster Dreieck (A7/A1)                           ;37  ;AD  ;Horster Dreieck                                   ; 1,5;11
  7;37  ;AD  ;Horster Dreieck                                   ;38  ;AS  ;Ramelsloh                                         ; 3,9;11
  7;38  ;AS  ;Ramelsloh                                         ;39  ;AS  ;Thieshope                                         ; 4,5;11
  7;39  ;AS  ;Thieshope                                         ;40  ;AS  ;Garlstorf                                         ; 7,4;11
  7;40  ;AS  ;Garlstorf                                         ;41  ;AS  ;Egestorf                                          ; 5,6;11
  7;41  ;AS  ;Egestorf                                          ;42  ;AS  ;Evendorf                                          ; 3,7;11
  7;42  ;AS  ;Evendorf                                          ;-   ;-   ;TR Brunautal (Wendemöglichkeit)                   ; 8,4;11
  7;-   ;-   ;TR Brunautal (Wendemöglichkeit)                   ;43  ;AS  ;Bispingen                                         ; 1,1;11
  7;43  ;AS  ;Bispingen                                         ;44  ;AS  ;Soltau-Ost                                        ;11,9;11
  7;44  ;AS  ;Soltau-Ost                                        ;45  ;AS  ;Soltau-Süd                                        ; 7,0;11
  7;45  ;AS  ;Soltau-Süd                                        ;46  ;AS  ;Dorfmark                                          ;10,0;11
  7;46  ;AS  ;Dorfmark                                          ;47  ;AS  ;Fallingbostel                                     ; 6,4;11
  7;47  ;AS  ;Fallingbostel                                     ;48  ;AD  ;Walsrode, Dreieck                                 ; 7,6;11
  7;48  ;AD  ;Walsrode, Dreieck                                 ;49  ;AS  ;Westenholz                                        ; 1,6;11
  7;49  ;AS  ;Westenholz                                        ;-   ;-   ;TR Allertal (Wendemöglichkeit)                    ; 9,1;11
  7;-   ;-   ;TR Allertal (Wendemöglichkeit)                    ;50  ;AS  ;Schwarmstedt                                      ; 2,0;11
  7;50  ;AS  ;Schwarmstedt                                      ;51  ;AS  ;Berkhof                                           ; 8,3;11
  7;51  ;AS  ;Berkhof                                           ;52  ;AS  ;Mellendorf                                        ; 6,8;11
  7;52  ;AS  ;Mellendorf                                        ;53  ;AD  ;Hannover-Nord, Dreieck                            ; 1,9;11
  7;53  ;AD  ;Hannover-Nord, Dreieck                            ;54  ;AS  ;Großburgwedel                                     ; 6,4;11
  7;54  ;AS  ;Großburgwedel                                     ;55  ;AS  ;Altwarmbüchen                                     ; 6,8;11
  7;55  ;AS  ;Altwarmbüchen                                     ;56  ;AK  ;Hannover/Kirchhorst, Kreuz                        ; 1,0;11
  7;56  ;AK  ;Hannover/Kirchhorst, Kreuz                        ;57  ;AK  ;Hannover-Ost, Kreuz                               ; 3,6;11
  7;57  ;AK  ;Hannover-Ost, Kreuz                               ;58  ;AS  ;Hannover-Anderten                                 ; 4,4;11
  7;58  ;AS  ;Hannover-Anderten                                 ;-   ;-   ;TR Wülferode (Wendemöglichkeit)                   ; 2,9;11
  7;-   ;-   ;TR Wülferode (Wendemöglichkeit)                   ;59  ;AS  ;Laatzen                                           ; 2,9;11
  7;59  ;AS  ;Laatzen                                           ;60  ;AD  ;Hannover-Süd, Dreieck                             ; 0,8;11
  7;60  ;AD  ;Hannover-Süd, Dreieck                             ;61  ;AS  ;Hildesheim-Drispenstedt                           ;15,2;11
  7;61  ;AS  ;Hildesheim-Drispenstedt                           ;62  ;AS  ;Hildesheim                                        ; 3,1;11
  7;62  ;AS  ;Hildesheim                                        ;-   ;-   ;TR Hildesheimer Börde (Wendemöglichkeit)          ; 6,0;11
  7;-   ;-   ;TR Hildesheimer Börde (Wendemöglichkeit)          ;63  ;AS  ;Derneburg/Salzgitter                              ; 7,5;11
  7;63  ;AS  ;Derneburg/Salzgitter                              ;64  ;AD  ;Salzgitter, Dreieck                               ; 3,1;11
  7;64  ;AD  ;Salzgitter, Dreieck                               ;65  ;AS  ;Bockenem                                          ;10,4;11
  7;65  ;AS  ;Bockenem                                          ;66  ;AS  ;Rhüden (Harz)                                     ; 6,0;11
  7;66  ;AS  ;Rhüden (Harz)                                     ;67  ;AS  ;Seesen (Harz)                                     ; 7,2;11
  7;67  ;AS  ;Seesen (Harz)                                     ;-   ;-   ;TR Seesen (Wendemöglichkeit)                      ; 3,4;11
  7;-   ;-   ;TR Seesen (Wendemöglichkeit)                      ;68  ;AS  ;Echte                                             ; 9,0;11
  7;68  ;AS  ;Echte                                             ;69  ;AS  ;Northeim-Nord                                     ; 9,3;11
  7;69  ;AS  ;Northeim-Nord                                     ;70  ;AS  ;Northeim-West                                     ; 4,9;11
  7;70  ;AS  ;Northeim-West                                     ;71  ;AS  ;Nörten-Hardenberg                                 ; 8,2;11
  7;71  ;AS  ;Nörten-Hardenberg                                 ;72  ;AS  ;Göttingen-Nord                                    ; 9,6;11
  7;72  ;AS  ;Göttingen-Nord                                    ;73  ;AS  ;Göttingen                                         ; 3,5;11
  7;73  ;AS  ;Göttingen                                         ;-   ;-   ;TR Göttingen (Wendemöglichkeit)                   ; 3,8;11
  7;-   ;-   ;TR Göttingen (Wendemöglichkeit)                   ;74  ;AD  ;Drammetal, Dreieck                                ; 4,3;11
  7;74  ;AD  ;Drammetal, Dreieck                                ;75  ;AS  ;Hann. Münden-Hedemünden                           ;10,4;11
  7;75  ;AS  ;Hann. Münden-Hedemünden                           ;76  ;AS  ;Hann.Münden/Staufenberg-Lutterberg                ;11,4;11
  7;76  ;AS  ;Hann.Münden/Staufenberg-Lutterberg                ;77  ;AS  ;Kassel-Nord                                       ; 8,9;11
  7;77  ;AS  ;Kassel-Nord                                       ;78  ;AS  ;Kassel-Ost                                        ; 1,5;11
  7;78  ;AS  ;Kassel-Ost                                        ;79  ;AD  ;Kassel-Mitte, Kreuz                               ; 3,1;11
  7;79  ;AD  ;Kassel-Mitte, Kreuz                               ;-   ;-   ;TR Kassel (Wendemöglichkeit)                      ; 1,4;11
  7;-   ;-   ;TR Kassel (Wendemöglichkeit)                      ;80  ;AK  ;Kassel-Süd, Dreieck                               ; 0,6;11
  7;80  ;AK  ;Kassel-Süd, Dreieck                               ;81  ;AS  ;Guxhagen                                          ; 7,4;11
  7;81  ;AS  ;Guxhagen                                          ;82  ;AS  ;Melsungen                                         ; 9,4;11
  7;82  ;AS  ;Melsungen                                         ;83  ;AS  ;Malsfeld                                          ; 4,2;11
  7;83  ;AS  ;Malsfeld                                          ;84  ;AS  ;Homberg (Efze)                                    ;10,0;11
  7;84  ;AS  ;Homberg (Efze)                                    ;85  ;AS  ;Bad Hersfeld-West                                 ;14,2;11
  7;85  ;AS  ;Bad Hersfeld-West                                 ;86  ;AD  ;Kirchheimer Dreieck                               ; 9,7;11
  7;86  ;AD  ;Kirchheimer Dreieck                               ;87  ;AS  ;Kirchheim                                         ; 0,8;11
  7;87  ;AS  ;Kirchheim                                         ;88  ;AD  ;Hattenbacher Dreieck                              ; 4,0;11
  7;88  ;AD  ;Hattenbacher Dreieck                              ;89  ;AS  ;Niederaula                                        ; 5,8;11
  7;89  ;AS  ;Niederaula                                        ;90  ;AS  ;Hünfeld/Schlitz                                   ;15,8;11
  7;90  ;AS  ;Hünfeld/Schlitz                                   ;91  ;AS  ;Fulda-Nord                                        ; 9,6;11
  7;91  ;AS  ;Fulda-Nord                                        ;93  ;AD  ;Fulda                                             ;11,8;11
  7;93  ;AD  ;Fulda                                             ;94  ;AS  ;Bad Brückenau-Volkers                             ;19,0;11
  7;94  ;AS  ;Bad Brückenau-Volkers                             ;95  ;AS  ;Bad Brückenau/Wildflecken                         ; 8,3;11
  7;95  ;AS  ;Bad Brückenau/Wildflecken                         ;-   ;-   ;TR Rhön (Wendemöglichkeit)                        ; 4,2;11
  7;-   ;-   ;TR Rhön (Wendemöglichkeit)                        ;96  ;AS  ;Bad Kissingen/Oberthulba                          ; 9,7;11
  7;96  ;AS  ;Bad Kissingen/Oberthulba                          ;97  ;AS  ;Hammelburg                                        ; 9,1;11
  7;97  ;AS  ;Hammelburg                                        ;98  ;AS  ;Schweinfurt/Niederwerrn                           ;10,0;11
  7;98  ;AS  ;Schweinfurt/Niederwerrn                           ;99  ;AD  ;Schweinfurt/Werneck, Dreieck                      ; 7,8;11
  7;99  ;AD  ;Schweinfurt/Werneck, Dreieck                      ;100 ;AS  ;Gramschatzer Wald                                 ;12,5;11
  7;100 ;AS  ;Gramschatzer Wald                                 ;101 ;AS  ;Würzburg/Estenfeld                                ; 7,6;11
  7;101 ;AS  ;Würzburg/Estenfeld                                ;102 ;AK  ;Biebelried, Kreuz                                 ;10,3;11
  7;102 ;AK  ;Biebelried, Kreuz                                 ;103 ;AS  ;Kitzingen                                         ; 2,3;11
  7;103 ;AS  ;Kitzingen                                         ;104 ;AS  ;Marktbreit                                        ;13,1;11
  7;104 ;AS  ;Marktbreit                                        ;105 ;AS  ;Gollhofen                                         ; 8,2;11
  7;105 ;AS  ;Gollhofen                                         ;106 ;AS  ;Uffenheim-Langensteinach                          ; 9,5;11
  7;106 ;AS  ;Uffenheim-Langensteinach                          ;107 ;AS  ;Bad Windsheim                                     ; 8,3;11
  7;107 ;AS  ;Bad Windsheim                                     ;108 ;AS  ;Rothenburg o.d.T.                                 ; 9,2;11
  7;108 ;AS  ;Rothenburg o.d.T.                                 ;109 ;AS  ;Wörnitz                                           ;13,9;11
  7;109 ;AS  ;Wörnitz                                           ;110 ;AK  ;Feuchtwangen/Crailsheim, Kreuz                    ; 7,2;11
  7;110 ;AK  ;Feuchtwangen/Crailsheim, Kreuz                    ;111 ;AS  ;Feuchtwangen-West                                 ; 3,5;11
  7;111 ;AS  ;Feuchtwangen-West                                 ;112 ;AS  ;Dinkelsbühl/Fichtenau                             ;11,1;11
  7;112 ;AS  ;Dinkelsbühl/Fichtenau                             ;113 ;AS  ;Ellwangen                                         ;16,7;11
  7;113 ;AS  ;Ellwangen                                         ;114 ;AS  ;Aalen/Westhausen                                  ; 8,5;11
  7;114 ;AS  ;Aalen/Westhausen                                  ;115 ;AS  ;Aalen/Oberkochen                                  ;10,4;11
  7;115 ;AS  ;Aalen/Oberkochen                                  ;116 ;AS  ;Heidenheim                                        ;13,4;11
