  4;53  ;AS  ;Jena-Göschwitz                                    ;54  ;AS  ;Jena-Lobeda                                       ; 1,9;11
  4;54  ;AS  ;Jena-Lobeda                                       ;55  ;AS  ;Stadtroda                                         ;11,5;11
  4;55  ;AS  ;Stadtroda                                         ;56a ;AK  ;Hermsdorfer Kreuz                                 ; 5,1;11
  4;56a ;AK  ;Hermsdorfer Kreuz                                 ;56b ;AS  ;Hermsdorf-Ost                                     ; 2,3;11
  4;56b ;AS  ;Hermsdorf-Ost                                     ;57  ;AS  ;Rüdersdorf (A 4)                                  ; 7,7;11
  4;57  ;AS  ;Rüdersdorf (A 4)                                  ;58  ;AS  ;Gera                                              ; 6,3;11
  4;58  ;AS  ;Gera                                              ;59  ;AS  ;Gera-Leumnitz                                     ; 7,1;11
  4;59  ;AS  ;Gera-Leumnitz                                     ;60  ;AS  ;Ronneburg                                         ; 5,8;11
  4;60  ;AS  ;Ronneburg                                         ;61  ;AS  ;Schmölln (A 4)                                    ; 8,1;11
  4;61  ;AS  ;Schmölln (A 4)                                    ;62  ;AS  ;Meerane                                           ; 8,7;11
  4;62  ;AS  ;Meerane                                           ;63  ;AS  ;Glauchau-West                                     ; 3,1;11
  4;63  ;AS  ;Glauchau-West                                     ;64  ;AS  ;Glauchau-Ost                                      ; 4,0;11
  4;64  ;AS  ;Glauchau-Ost                                      ;65  ;AS  ;Hohenstein-Ernstthal                              ; 9,4;11
  4;65  ;AS  ;Hohenstein-Ernstthal                              ;66  ;AS  ;Wüstenbrand                                       ; 6,9;11
  4;66  ;AS  ;Wüstenbrand                                       ;67  ;AS  ;Limbach-Oberfrohna                                ; 4,6;11
  4;67  ;AS  ;Limbach-Oberfrohna                                ;68  ;AD  ;Chemnitz, Kreuz                                   ; 2,7;11
  4;68  ;AD  ;Chemnitz, Kreuz                                   ;69  ;AS  ;Chemnitz-Nord                                     ; 2,1;11
  4;69  ;AS  ;Chemnitz-Nord                                     ;70  ;AS  ;Chemnitz-Glösa                                    ; 3,8;11
  4;70  ;AS  ;Chemnitz-Glösa                                    ;71  ;AS  ;Chemnitz-Ost                                      ; 5,9;11
  4;71  ;AS  ;Chemnitz-Ost                                      ;72  ;AS  ;Frankenberg                                       ; 5,9;11
  4;72  ;AS  ;Frankenberg                                       ;73  ;AS  ;Hainichen                                         ; 7,1;11
  4;73  ;AS  ;Hainichen                                         ;74  ;AS  ;Berbersdorf                                       ; 7,6;11
  4;74  ;AS  ;Berbersdorf                                       ;75  ;AS  ;Siebenlehn                                        ; 7,9;11
  4;75  ;AS  ;Siebenlehn                                        ;76  ;AD  ;Nossen, Dreieck                                   ; 5,8;11
  4;76  ;AD  ;Nossen, Dreieck                                   ;77a ;AS  ;Wilsdruff                                         ;11,5;11
  4;77a ;AS  ;Wilsdruff                                         ;77b ;AD  ;Dresden-West, Dreieck                             ; 5,6;11
  4;77b ;AD  ;Dresden-West, Dreieck                             ;78  ;AS  ;Dresden-Altstadt                                  ; 3,3;11
  4;78  ;AS  ;Dresden-Altstadt                                  ;79  ;AS  ;Dresden-Neustadt                                  ; 3,2;11
  4;79  ;AS  ;Dresden-Neustadt                                  ;80  ;AS  ;Dresden-Wilder Mann                               ; 2,8;11
  4;80  ;AS  ;Dresden-Wilder Mann                               ;81a ;AS  ;Dresden-Hellerau                                  ; 1,6;11
